[val split] es=65,912 (early-stop+calib)  sel=43,942 (held-out selection)
[val_sel pops] cold(==0)=16,967 seen(>=1)=26,975
[ 90]   2810s score= 14.62  cold25=14.62 seen25=34.92 all25=27.08 all_rmsle=1.268 | obj=l2 cal=iso nl=127 grp=3 | BEST cold25=15.62
[ 91]   2845s score= 13.04  cold25=13.04 seen25=46.40 all25=33.52 all_rmsle=1.253 | obj=huber cal=segmult nl=127 grp=3 | BEST cold25=15.62
[ 92]   2875s score=-87.36  cold25=12.64 seen25=33.44 all25=25.41 all_rmsle=1.294 | obj=l2 cal=iso nl=255 grp=1 | BEST cold25=15.62
[ 93]   2901s score=-86.04  cold25=13.96 seen25=32.29 all25=25.21 all_rmsle=1.228 | obj=huber cal=iso nl=255 grp=2 | BEST cold25=15.62
[ 94]   2918s score= 16.11  cold25=16.11 seen25=44.94 all25=33.81 all_rmsle=1.346 | obj=huber cal=segmult nl=31 grp=3 | BEST cold25=16.11
[ 95]   2940s score= 12.95  cold25=12.95 seen25=41.65 all25=30.57 all_rmsle=1.270 | obj=huber cal=segmult nl=63 grp=1 | BEST cold25=16.11
[ 96]   2965s score= 12.10  cold25=12.10 seen25=40.52 all25=29.55 all_rmsle=1.284 | obj=huber cal=none nl=31 grp=3 | BEST cold25=16.11
[ 97]   2975s score= 13.78  cold25=13.78 seen25=40.47 all25=30.16 all_rmsle=1.308 | obj=l2 cal=iso_segmult nl=127 grp=3 | BEST cold25=16.11
[ 98]   2983s score= 13.31  cold25=13.31 seen25=34.82 all25=26.51 all_rmsle=1.344 | obj=l2 cal=segmult nl=31 grp=1 | BEST cold25=16.11
[ 99]   3040s score= 12.33  cold25=12.33 seen25=37.92 all25=28.04 all_rmsle=1.295 | obj=huber cal=iso nl=63 grp=3 | BEST cold25=16.11
[100]   3094s score= 13.24  cold25=13.24 seen25=37.29 all25=28.00 all_rmsle=1.276 | obj=huber cal=iso nl=255 grp=3 | BEST cold25=16.11
[101]   3160s score= 14.18  cold25=14.18 seen25=36.65 all25=27.97 all_rmsle=1.274 | obj=quantile cal=iso nl=255 grp=2 | BEST cold25=16.11
[102]   3203s score= 14.56  cold25=14.56 seen25=41.08 all25=30.84 all_rmsle=1.242 | obj=l2 cal=segmult nl=255 grp=2 | BEST cold25=16.11
[103]   3228s score= 13.24  cold25=13.24 seen25=40.38 all25=29.90 all_rmsle=1.337 | obj=huber cal=iso_segmult nl=31 grp=3 | BEST cold25=16.11
[104]   3287s score= 13.03  cold25=13.03 seen25=47.29 all25=34.06 all_rmsle=1.414 | obj=quantile cal=segmult nl=63 grp=3 | BEST cold25=16.11
[105]   3316s score= 12.78  cold25=12.78 seen25=40.67 all25=29.91 all_rmsle=1.327 | obj=l2 cal=iso_segmult nl=127 grp=1 | BEST cold25=16.11
[106]   3344s score= 13.82  cold25=13.82 seen25=37.83 all25=28.56 all_rmsle=1.228 | obj=l2 cal=iso nl=127 grp=3 | BEST cold25=16.11
[107]   3439s score= 14.49  cold25=14.49 seen25=39.83 all25=30.05 all_rmsle=1.301 | obj=quantile cal=iso_segmult nl=255 grp=1 | BEST cold25=16.11
[108]   3461s score= 14.50  cold25=14.50 seen25=36.99 all25=28.31 all_rmsle=1.283 | obj=l2 cal=iso_segmult nl=127 grp=1 | BEST cold25=16.11
[109]   3478s score= 12.63  cold25=12.63 seen25=37.08 all25=27.64 all_rmsle=1.249 | obj=l2 cal=none nl=63 grp=3 | BEST cold25=16.11
[110]   3525s score= 15.38  cold25=15.38 seen25=45.24 all25=33.71 all_rmsle=1.295 | obj=quantile cal=segmult nl=127 grp=1 | BEST cold25=16.11
[111]   3543s score= 12.80  cold25=12.80 seen25=40.30 all25=29.68 all_rmsle=1.292 | obj=huber cal=iso_segmult nl=63 grp=3 | BEST cold25=16.11
[112]   3644s score= 15.38  cold25=15.38 seen25=40.15 all25=30.59 all_rmsle=1.236 | obj=quantile cal=iso_segmult nl=255 grp=3 | BEST cold25=16.11
[113]   3650s score=-89.84  cold25=10.16 seen25=32.50 all25=23.87 all_rmsle=1.336 | obj=l2 cal=iso nl=31 grp=1 | BEST cold25=16.11
[114]   3656s score= 14.20  cold25=14.20 seen25=33.89 all25=26.29 all_rmsle=1.315 | obj=l2 cal=none nl=63 grp=2 | BEST cold25=16.11
[115]   3667s score= 13.49  cold25=13.49 seen25=41.37 all25=30.60 all_rmsle=1.240 | obj=l2 cal=iso_segmult nl=63 grp=3 | BEST cold25=16.11
[116]   3718s score= 14.18  cold25=14.18 seen25=40.28 all25=30.20 all_rmsle=1.237 | obj=huber cal=none nl=127 grp=2 | BEST cold25=16.11
[117]   3733s score= 14.09  cold25=14.09 seen25=41.81 all25=31.10 all_rmsle=1.241 | obj=huber cal=iso_segmult nl=255 grp=2 | BEST cold25=16.11
[118]   3767s score=-86.41  cold25=13.59 seen25=33.27 all25=25.67 all_rmsle=1.251 | obj=l2 cal=none nl=31 grp=2 | BEST cold25=16.11
[119]   3845s score= 13.96  cold25=13.96 seen25=47.31 all25=34.43 all_rmsle=1.386 | obj=quantile cal=segmult nl=63 grp=3 | BEST cold25=16.11
[120]   3867s score= 15.54  cold25=15.54 seen25=45.89 all25=34.17 all_rmsle=1.326 | obj=quantile cal=segmult nl=31 grp=2 | BEST cold25=16.11
[121]   3918s score= 14.39  cold25=14.39 seen25=45.28 all25=33.35 all_rmsle=1.266 | obj=huber cal=segmult nl=255 grp=3 | BEST cold25=16.11
[122]   3929s score= 13.49  cold25=13.49 seen25=35.74 all25=27.15 all_rmsle=1.321 | obj=huber cal=iso_segmult nl=31 grp=1 | BEST cold25=16.11
[123]   3949s score= 12.55  cold25=12.55 seen25=41.86 all25=30.54 all_rmsle=1.340 | obj=quantile cal=none nl=31 grp=1 | BEST cold25=16.11
[124]   3955s score= 12.14  cold25=12.14 seen25=36.64 all25=27.18 all_rmsle=1.291 | obj=l2 cal=iso_segmult nl=63 grp=1 | BEST cold25=16.11
[125]   3974s score= 11.96  cold25=11.96 seen25=38.66 all25=28.35 all_rmsle=1.350 | obj=l2 cal=iso_segmult nl=63 grp=1 | BEST cold25=16.11
[126]   3985s score=-88.13  cold25=11.87 seen25=34.05 all25=25.48 all_rmsle=1.269 | obj=l2 cal=none nl=127 grp=3 | BEST cold25=16.11
[127]   4003s score= 13.85  cold25=13.85 seen25=38.26 all25=28.83 all_rmsle=1.327 | obj=huber cal=iso_segmult nl=63 grp=1 | BEST cold25=16.11
[128]   4044s score= 12.52  cold25=12.52 seen25=45.52 all25=32.78 all_rmsle=1.322 | obj=quantile cal=segmult nl=31 grp=2 | BEST cold25=16.11
[129]   4079s score= 13.42  cold25=13.42 seen25=39.81 all25=29.62 all_rmsle=1.281 | obj=l2 cal=iso_segmult nl=255 grp=1 | BEST cold25=16.11
[130]   4104s score=-86.39  cold25=13.61 seen25=32.42 all25=25.16 all_rmsle=1.253 | obj=l2 cal=iso nl=255 grp=2 | BEST cold25=16.11
[131]   4150s score= 12.81  cold25=12.81 seen25=45.04 all25=32.60 all_rmsle=1.235 | obj=huber cal=segmult nl=63 grp=3 | BEST cold25=16.11
[132]   4181s score= 14.40  cold25=14.40 seen25=40.42 all25=30.37 all_rmsle=1.250 | obj=huber cal=none nl=63 grp=2 | BEST cold25=16.11
[133]   4233s score= 12.95  cold25=12.95 seen25=44.59 all25=32.37 all_rmsle=1.334 | obj=quantile cal=none nl=31 grp=2 | BEST cold25=16.11
[134]   4263s score=-87.76  cold25=12.24 seen25=34.58 all25=25.95 all_rmsle=1.262 | obj=l2 cal=iso nl=31 grp=2 | BEST cold25=16.11
[135]   4304s score=-88.37  cold25=11.63 seen25=33.58 all25=25.11 all_rmsle=1.293 | obj=l2 cal=none nl=255 grp=1 | BEST cold25=16.11
[136]   4337s score=-88.65  cold25=11.35 seen25=34.69 all25=25.68 all_rmsle=1.279 | obj=l2 cal=iso nl=31 grp=2 | BEST cold25=16.11
[137]   4358s score= 14.86  cold25=14.86 seen25=44.13 all25=32.83 all_rmsle=1.314 | obj=quantile cal=segmult nl=63 grp=1 | BEST cold25=16.11
[138]   4418s score= 15.32  cold25=15.32 seen25=42.24 all25=31.84 all_rmsle=1.264 | obj=quantile cal=none nl=127 grp=2 | BEST cold25=16.11
[139]   4428s score=-88.45  cold25=11.55 seen25=34.49 all25=25.64 all_rmsle=1.325 | obj=l2 cal=none nl=31 grp=1 | BEST cold25=16.11
[140]   4464s score= 15.44  cold25=15.44 seen25=43.92 all25=32.93 all_rmsle=1.381 | obj=quantile cal=segmult nl=255 grp=1 | BEST cold25=16.11
[141]   4476s score= 10.77  cold25=10.77 seen25=39.68 all25=28.52 all_rmsle=1.270 | obj=l2 cal=segmult nl=63 grp=2 | BEST cold25=16.11
[142]   4525s score= 13.32  cold25=13.32 seen25=39.84 all25=29.60 all_rmsle=1.255 | obj=huber cal=iso_segmult nl=63 grp=3 | BEST cold25=16.11
[143]   4547s score= 16.53  cold25=16.53 seen25=37.69 all25=29.52 all_rmsle=1.316 | obj=quantile cal=none nl=127 grp=1 | BEST cold25=16.53
[144]   4574s score= 14.44  cold25=14.44 seen25=45.04 all25=33.23 all_rmsle=1.334 | obj=quantile cal=segmult nl=63 grp=1 | BEST cold25=16.53
[145]   4583s score= 12.99  cold25=12.99 seen25=42.59 all25=31.16 all_rmsle=1.254 | obj=l2 cal=iso_segmult nl=127 grp=2 | BEST cold25=16.53
[146]   4604s score= 12.38  cold25=12.38 seen25=40.25 all25=29.49 all_rmsle=1.283 | obj=l2 cal=iso_segmult nl=63 grp=3 | BEST cold25=16.53
[147]   4611s score=-89.64  cold25=10.36 seen25=32.21 all25=23.77 all_rmsle=1.314 | obj=l2 cal=iso nl=31 grp=1 | BEST cold25=16.53
[148]   4640s score= 14.63  cold25=14.63 seen25=46.61 all25=34.26 all_rmsle=1.287 | obj=huber cal=segmult nl=255 grp=3 | BEST cold25=16.53
[149]   4670s score= 14.20  cold25=14.20 seen25=48.00 all25=34.95 all_rmsle=1.291 | obj=quantile cal=segmult nl=63 grp=3 | BEST cold25=16.53
[150]   4725s score= 12.96  cold25=12.96 seen25=39.80 all25=29.44 all_rmsle=1.275 | obj=huber cal=none nl=63 grp=2 | BEST cold25=16.53
[151]   4745s score= 12.58  cold25=12.58 seen25=39.75 all25=29.26 all_rmsle=1.274 | obj=l2 cal=segmult nl=31 grp=2 | BEST cold25=16.53
[152]   4766s score= 13.22  cold25=13.22 seen25=38.69 all25=28.85 all_rmsle=1.334 | obj=l2 cal=iso_segmult nl=31 grp=3 | BEST cold25=16.53
[153]   4794s score= 13.14  cold25=13.14 seen25=40.05 all25=29.66 all_rmsle=1.318 | obj=l2 cal=iso_segmult nl=31 grp=2 | BEST cold25=16.53
[154]   4805s score=-87.03  cold25=12.97 seen25=30.16 all25=23.52 all_rmsle=1.285 | obj=l2 cal=iso nl=63 grp=1 | BEST cold25=16.53
