p_star_sorted,cdf
151.0,0.3036855036855037
152.0,0.3041769041769042
153.0,0.3046683046683047
153.0,0.30515970515970514
154.0,0.30565110565110565
154.0,0.30614250614250615
155.0,0.30663390663390666
155.0,0.3071253071253071
156.0,0.3076167076167076
156.0,0.3081081081081081
157.0,0.3085995085995086
158.0,0.3090909090909091
158.0,0.3095823095823096
159.0,0.3100737100737101
160.0,0.31056511056511055
160.0,0.31105651105651105
161.0,0.31154791154791156
162.0,0.31203931203931207
163.0,0.3125307125307125
164.0,0.313022113022113
164.0,0.31351351351351353
165.0,0.314004914004914
165.0,0.3144963144963145
166.0,0.314987714987715
166.0,0.3154791154791155
167.0,0.31597051597051595
168.0,0.31646191646191646
169.0,0.31695331695331697
169.0,0.3174447174447175
170.0,0.3179361179361179
171.0,0.31842751842751843
172.0,0.31891891891891894
173.0,0.3194103194103194
173.0,0.3199017199017199
174.0,0.3203931203931204
175.0,0.3208845208845209
175.0,0.32137592137592136
175.0,0.32186732186732187
176.0,0.32235872235872237
177.0,0.3228501228501228
178.0,0.32334152334152333
179.0,0.32383292383292384
180.0,0.32432432432432434
181.0,0.3248157248157248
182.0,0.3253071253071253
183.0,0.3257985257985258
183.0,0.3262899262899263
184.0,0.32678132678132676
184.0,0.32727272727272727
185.0,0.3277641277641278
185.0,0.32825552825552823
186.0,0.32874692874692873
187.0,0.32923832923832924
188.0,0.32972972972972975
189.0,0.3302211302211302
190.0,0.3307125307125307
191.0,0.3312039312039312
192.0,0.3316953316953317
193.0,0.33218673218673217
194.0,0.3326781326781327
194.0,0.3331695331695332
195.0,0.33366093366093363
195.0,0.33415233415233414
196.0,0.33464373464373465
197.0,0.33513513513513515
197.0,0.3356265356265356
198.0,0.3361179361179361
199.0,0.3366093366093366
200.0,0.3371007371007371
201.0,0.3375921375921376
202.0,0.3380835380835381
203.0,0.3385749385749386
204.0,0.33906633906633904
205.0,0.33955773955773955
205.0,0.34004914004914005
206.0,0.34054054054054056
206.0,0.341031941031941
206.0,0.3415233415233415
207.0,0.342014742014742
208.0,0.34250614250614253
208.0,0.342997542997543
209.0,0.3434889434889435
210.0,0.343980343980344
211.0,0.34447174447174445
212.0,0.34496314496314495
213.0,0.34545454545454546
214.0,0.34594594594594597
214.0,0.3464373464373464
215.0,0.3469287469287469
215.0,0.34742014742014743
215.0,0.34791154791154794
216.0,0.3484029484029484
216.0,0.3488943488943489
216.0,0.3493857493857494
216.0,0.34987714987714985
216.0,0.35036855036855036
216.0,0.35085995085995086
216.0,0.35135135135135137
217.0,0.3518427518427518
217.0,0.35233415233415233
217.0,0.35282555282555284
218.0,0.35331695331695334
218.0,0.3538083538083538
219.0,0.3542997542997543
220.0,0.3547911547911548
221.0,0.35528255528255526
222.0,0.35577395577395576
223.0,0.35626535626535627
224.0,0.3567567567567568
225.0,0.3572481572481572
225.0,0.35773955773955773
226.0,0.35823095823095824
226.0,0.35872235872235875
226.0,0.3592137592137592
226.0,0.3597051597051597
226.0,0.3601965601965602
226.0,0.36068796068796066
226.0,0.36117936117936117
226.0,0.3616707616707617
226.0,0.3621621621621622
227.0,0.36265356265356263
227.0,0.36314496314496314
227.0,0.36363636363636365
227.0,0.36412776412776415
227.0,0.3646191646191646
229.0,0.3651105651105651
230.0,0.3656019656019656
231.0,0.36609336609336607
232.0,0.3665847665847666
233.0,0.3670761670761671
234.0,0.3675675675675676
234.0,0.36805896805896804
235.0,0.36855036855036855
236.0,0.36904176904176905
236.0,0.36953316953316956
236.0,0.37002457002457
236.0,0.3705159705159705
237.0,0.371007371007371
237.0,0.3714987714987715
237.0,0.371990171990172
237.0,0.3724815724815725
238.0,0.372972972972973
239.0,0.37346437346437344
241.0,0.37395577395577395
242.0,0.37444717444717446
243.0,0.37493857493857496
244.0,0.3754299754299754
244.0,0.3759213759213759
245.0,0.37641277641277643
245.0,0.3769041769041769
246.0,0.3773955773955774
246.0,0.3778869778869779
246.0,0.3783783783783784
246.0,0.37886977886977885
246.0,0.37936117936117936
247.0,0.37985257985257986
247.0,0.38034398034398037
247.0,0.3808353808353808
248.0,0.38132678132678133
249.0,0.38181818181818183
250.0,0.3823095823095823
251.0,0.3828009828009828
252.0,0.3832923832923833
253.0,0.3837837837837838
254.0,0.38427518427518426
254.0,0.38476658476658476
255.0,0.38525798525798527
255.0,0.3857493857493858
256.0,0.3862407862407862
256.0,0.38673218673218673
256.0,0.38722358722358724
257.0,0.3877149877149877
257.0,0.3882063882063882
257.0,0.3886977886977887
257.0,0.3891891891891892
259.0,0.38968058968058966
259.0,0.39017199017199017
260.0,0.3906633906633907
261.0,0.3911547911547912
263.0,0.39164619164619163
264.0,0.39213759213759214
264.0,0.39262899262899265
265.0,0.3931203931203931
266.0,0.3936117936117936
266.0,0.3941031941031941
267.0,0.3945945945945946
267.0,0.39508599508599507
267.0,0.3955773955773956
268.0,0.3960687960687961
270.0,0.3965601965601966
271.0,0.39705159705159704
272.0,0.39754299754299754
273.0,0.39803439803439805
274.0,0.3985257985257985
275.0,0.399017199017199
275.0,0.3995085995085995
276.0,0.4
277.0,0.4004914004914005
277.0,0.400982800982801
278.0,0.4014742014742015
278.0,0.401965601965602
279.0,0.40245700245700244
280.0,0.40294840294840295
281.0,0.40343980343980346
282.0,0.4039312039312039
283.0,0.4044226044226044
